油烟机	产品	集成灶	下游	下游
厨房家电	产品	家电	产品	上位产品
本钢板材 000761	公司	板材	产品	主营产品
喜临门 603008	公司	智能家居	产品	主营产品
马钢股份 600808	公司	板材	产品	主营产品
家电	产品	芯片	上游	上游
家电	产品	房地产	上游	上游
睿康股份 002692	公司	电缆	产品	主营产品
家居	产品	大家居	下位产品	下位产品
胜利股份 000407	公司	塑料	产品	主营产品
全志科技 300458	公司	芯片	产品	主营产品
恒顺醋业 600305	公司	房地产	产品	主营产品
万和电气 002543	公司	消毒柜	产品	主营产品
文峰股份 601010	公司	电器	产品	主营产品
厨卫	产品	轴流风机	上游	上游
中航三鑫 002163	公司	玻璃	产品	主营产品
东旭蓝天 000040	公司	房地产	产品	主营产品
万和电气 002543	公司	抽油烟机	产品	主营产品
沧州明珠 002108	公司	塑料	产品	主营产品
银禧科技 300221	公司	塑料	产品	主营产品
家居	产品	橱柜	上游	上游
家电	产品	塑料	上游	上游
家电	产品	厨房家电	下位产品	下位产品
家居	产品	房地产行业	上游	上游
重庆百货 600729	公司	电器	产品	主营产品
厨房电器	产品	商用智能厨房电器	下位产品	下位产品
华仪电气 600290	公司	电器	产品	主营产品
厨房大电器	产品	电器	产品	上位产品
神剑股份 002361	公司	粉末涂料	产品	主营产品
安源煤业 600397	公司	玻璃	产品	主营产品
苏泊尔 002032	公司	电器	产品	主营产品
洲际油气 600759	公司	房地产	产品	主营产品
苏泊尔 002032	公司	消毒柜	产品	主营产品
栋梁新材 002082	公司	板材	产品	主营产品
中天科技 600522	公司	电缆	产品	主营产品
苏宁云商 002024	公司	家电	产品	主营产品
老板电器 002508	公司	厨电	产品	主营产品
华帝股份 002035	公司	消毒柜	产品	主营产品
新钢股份 600782	公司	板材	产品	主营产品
华帝股份 002035	公司	厨具	产品	主营产品
厨房电器	产品	商用智能厨房电器	下位产品	下位产品
中颖电子 300327	公司	小家电	产品	主营产品
苏泊尔 002032	公司	厨具	产品	主营产品
赤峰黄金 600988	公司	金属	产品	主营产品
通程控股 000419	公司	电器	产品	主营产品
